-133,215,-143
-119,-181,-121
-88,220,-136
-171,-81,-69
-153,177,-125
-138,62,-40
-151,163,-105
-54,144,-54
13,115,-59
119,-133,-109
-58,-220,-170
115,-139,-127
-133,89,-45
-218,74,-116
-220,118,-138
-56,156,-86
-95,177,-101
-68,206,-140
71,217,-189
186,-4,-166
71,-97,-67
-101,-125,-53
-188,-124,-114
-262,118,-202
-179,227,-203
-131,255,-203
-74,256,-192
35,153,-105
-212,230,-274
-254,176,-334
-287,-31,-283
-105,-193,-109
-64,-50,-24
-2,36,-22
10,90,-56
36,112,-72
51,179,-127
-29,281,-313
-141,267,-385
-176,228,-400
-226,206,-302
-212,176,-174
-196,142,-120
-176,126,-96
-136,80,-50
-35,33,-19
30,12,-16
68,54,-40
71,97,-51
69,105,-69
80,106,-62
77,93,-59
77,87,-55
-14,-74,-26
-109,85,-53
-51,249,-191
-37,287,-293
-73,279,-317
-155,191,-449
-88,196,-502
-14,238,-474
-918,136,-134
-227,-11,-395
-491,-127,-377
15,185,-513
-15,27,-543
8,238,-468
-208,60,-536
-1155,305,291
-437,317,9
-166,262,-408
-449,511,-99
-107,121,-563
-393,-1,-437
-152,112,-540
-101,247,-451
333,299,405
-202,48,-404
-176,-14,-514
-59,263,-443
75,31,-489
32,192,-484
-106,244,-440
-160,184,-30
-143,-49,-423
-75,-185,-343
-45,-121,-393
-161,-137,-341
-220,60,-268
-138,32,-520
13,251,-469
-66,308,-324
-64,182,-82
24,-126,-64
-7,-165,-343
-88,-70,-402
-50,18,-532
-2,-108,-458
-85,-53,-443
1,-93,-443
-48,-40,-474
-142,-60,-384
-52,-38,-494
-113,157,-537
-249,143,-443
-206,4,-488
-97,83,-573
-53,131,-579
-241,-39,-469
-317,1,-325
-172,284,-206
-71,345,-313
-286,208,-316
-289,223,-353
-272,128,-516
-322,20,-342
-304,18,-382
-29,-151,-419
-251,-81,-397
-303,99,-349
-242,164,-488
-256,-16,-456
-146,-104,-434
-184,-26,-460
-213,-75,-421
8,-150,-360
-44,-152,-354
-286,-28,-312
-251,-29,-357
-297,93,-423
-189,-155,-247
-219,-93,-213
-202,-74,-378
-253,-65,-367
-173,-103,-231
-125,179,-279
-245,-47,-397
-140,-140,-348
-78,-134,-288
-199,-63,-325
-167,-107,-363
-267,-53,-331
-285,-29,-293
-294,80,-222
-281,-43,-323
-268,-86,-306
-263,-29,-317
-105,-131,-295
-14,-20,-506
74,138,-678
-98,164,-532
31,305,-551
638,-368,-404
18,-78,-414
-138,-16,-884
96,-114,-362
-27,57,-551
115,-45,-417
-41,9,-533
159,-29,-351
-41,91,-555
154,-62,-344
-26,196,-556
127,-99,-327
-48,90,-562
152,-64,-332
-21,65,-543
177,209,-827
18,96,-532
-174,2,-482
91,175,-499
-66,-78,-456
-127,17,-507
22,-124,-100
-121,-155,-267
-58,-120,-94
38,206,-518
104,-140,-274
159,-7,-107
207,-19,-229
180,112,-126
139,185,-131
201,3,-193
149,255,-283
220,110,-236
227,111,-297
171,-45,-133
70,-92,-414
142,-114,-310
-55,39,-527
60,130,-526
69,-105,-385
193,31,-191
137,115,-73
25,327,-293
-18,258,-122
-17,209,-87
-152,256,-178
-207,-31,-127
-52,-162,-120
-32,-188,-230
-74,-168,-172
-130,-160,-240
-137,-155,-237
-170,-130,-340
-111,-179,-337
-173,-151,-311
-142,-162,-298
-150,-164,-296
-145,-165,-299
-142,-168,-298
-137,-169,-301
